Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
4,93,40,339.8427124746202,1246,32,5.00390625,0.8351573944091797
4,94,40,87.29646455628159,446,12,5.00390625,0.3466358184814453
4,95,40,111.81118318204302,358,9,5.00390625,0.279646635055542
4,96,40,291.2031021678305,1752,44,5.00390625,1.0416159629821777
4,97,40,18.313708498984763,39,1,5.00390625,0.10176324844360352
4,98,40,84.91168824543136,381,10,5.00390625,0.301713228225708
4,99,40,85.71067811865468,294,8,5.00390625,0.2693197727203369
4,100,40,15.071067811865476,32,1,5.00390625,0.1094522476196289
5,1,50,244.9482681718912,1780,36,5.01171875,1.2503533363342285
5,2,50,191.76450198781728,1222,25,5.00390625,0.8205516338348389
5,3,50,150.48023074035513,600,12,5.00390625,0.42608022689819336
5,4,50,175.83556979968276,734,15,5.00390625,0.5628011226654053
5,5,50,274.1025971044422,922,19,5.00390625,0.6804916858673096
5,6,50,189.42135623730968,1428,29,5.00390625,0.9384088516235352
5,7,50,126.48023074035507,504,11,5.00390625,0.408221960067749
5,8,50,84.39696961966995,456,10,5.00390625,0.4256467819213867
5,9,50,219.00714267493677,1560,32,5.00390625,0.9890203475952148
5,10,50,99.78174593052013,484,10,5.00390625,0.3612797260284424
5,11,50,125.61017305526633,746,15,5.00390625,0.5508184432983398
5,12,50,262.2325394193532,1629,33,5.00390625,1.147752285003662
5,13,50,176.52186130069802,1235,25,5.00390625,0.8816006183624268
5,14,50,134.06601717798202,593,12,5.00390625,0.4084484577178955
5,15,50,145.20815280171303,510,11,5.00390625,0.39344048500061035
5,16,50,174.10764773832486,1390,28,5.00390625,0.880781888961792
5,17,50,283.75945135393465,1373,28,4.98046875,0.9891026020050049
5,18,50,231.8477631085029,873,18,5.00390625,0.6630697250366211
5,19,50,204.56349186104072,791,16,5.00390625,0.5934760570526123
5,20,50,260.8893936688456,822,17,5.00390625,0.6049721240997314
5,21,50,193.4924240491751,920,19,5.00390625,0.6932215690612793
5,22,50,151.37972567696684,1332,27,5.00390625,0.998119592666626
5,23,50,229.32085117392157,1462,30,5.00390625,1.007436752319336
5,24,50,136.53910524340085,850,17,5.00390625,0.5970313549041748
5,25,50,224.11984104714483,818,17,5.00390625,0.5854954719543457
5,26,50,284.71782079359184,1781,36,5.00390625,1.4131684303283691
5,27,50,274.71782079359184,1539,31,5.00390625,0.9654061794281006
5,28,50,286.6883835420691,1134,23,5.00390625,0.7686514854431152
5,29,50,324.73001410241193,1715,35,5.00390625,1.0507802963256836
5,30,50,127.02438661763941,772,16,5.00390625,0.5169649124145508
5,31,50,108.95331880577396,729,15,5.00390625,0.528693437576294
5,32,50,242.6761902332491,1633,33,5.00390625,1.4293608665466309
5,33,50,217.66399692442909,1423,29,5.00390625,1.0204150676727295
5,34,50,211.32085117392145,1092,22,5.00390625,0.8871304988861084
5,35,50,213.66399692442906,1467,30,5.00390625,1.046128749847412
5,36,50,331.58787847868086,1945,39,5.00390625,1.4772241115570068
5,37,50,36.62741699796953,159,4,5.00390625,0.17281317710876465
5,38,50,239.9482681718911,1399,28,5.00390625,1.0343365669250488
5,39,50,206.35028842544432,1361,28,5.00390625,0.8485643863677979
5,40,50,174.7645019878172,578,12,5.00390625,0.48510241508483887
5,41,50,177.07821048680205,411,9,5.00390625,0.4470188617706299
5,42,50,208.3502884254443,1391,28,5.00390625,0.9939470291137695
5,43,50,340.0853531617396,1142,23,5.00390625,0.7994205951690674
5,44,50,83.56854249492376,559,12,5.00390625,0.4219808578491211
5,45,50,203.3208511739215,1691,34,5.00390625,1.1312217712402344
5,46,50,162.86500705120548,614,13,5.00390625,0.5023045539855957
5,47,50,354.65894629054657,2582,52,5.00390625,1.746330738067627
5,48,50,11.071067811865476,31,1,5.00390625,0.09432053565979004
5,49,50,127.75230867899725,477,10,5.00390625,0.3927731513977051
5,50,50,130.7228714274744,529,11,5.00390625,0.4698140621185303
5,51,50,185.17871555019036,1230,25,5.00390625,0.8762805461883545
5,52,50,59.01219330881973,298,6,5.00390625,0.2680692672729492
5,53,50,87.0538238691623,483,10,5.00390625,0.3627896308898926
5,54,50,273.6761902332491,1635,33,5.00390625,1.0061542987823486
5,55,50,119.68124086713178,530,11,5.00390625,0.4015843868255615
5,56,50,193.00714267493657,1505,31,5.00390625,0.9703583717346191
5,57,50,298.17366491630776,1200,24,5.00390625,0.8403065204620361
5,58,50,191.6223663640864,1259,26,5.00390625,0.812819242477417
5,59,50,192.59292911256344,1097,22,5.00390625,0.7390105724334717
5,60,50,71.74011537017758,183,4,5.00390625,0.1895899772644043
5,61,50,305.6883835420692,2123,43,5.00390625,1.2405662536621094
5,62,50,99.2670273047587,302,7,5.00390625,0.28156518936157227
5,63,50,191.00714267493657,984,20,5.00390625,0.7376654148101807
5,64,50,317.13203435596506,2335,47,5.00390625,1.4388134479522705
5,65,50,259.7888886054574,937,19,5.00390625,0.6282632350921631
