Algorithm,Metric,s/g distance,Mean,Median,Standard Deviation,Minimum,Maximum
LRTA*,Path cost,28.284271247461906,29.748737341529182,29.74873734152917,0.4725124398741139,28.870057685088817,30.62741699796953
D*,Path cost,420.0214280248092,492.7903171404453,492.65894629054685,2.7834517273235675,488.21529547665097,496.7594513539351
D*,Path cost,339.4112549695428,399.74137059481046,398.98989873223434,1.9852804050748134,396.7178207935923,403.50461735799576
D*,Path cost,254.55844122715712,300.55100269293825,300.19953083036216,3.516251772910656,295.5634918610411,305.6639969244293
D*,Path cost,169.7056274847714,202.1380951166245,201.75230867899757,1.9380458271479413,199.23759005323612,205.6812408671321
D*,Path cost,84.8528137423857,102.31757569573593,102.66904755831207,2.27504781867715,98.32590180780446,105.74011537017752
D*,Path cost,28.284271247461906,34.707821048680195,33.849242404917504,2.164646812438294,32.38477631085024,39.31370849898477
D* Lite,Path cost,420.0214280248092,437.03349878470345,437.5950211536184,1.3681858759743377,434.0803025278569,438.7665940288722
D* Lite,Path cost,339.4112549695428,354.645865403878,354.1772362537765,1.1251713793674625,353.4701294725899,356.64170234784376
D* Lite,Path cost,254.55844122715712,265.2925465981034,265.2239174480019,0.9134510712652495,263.93102422918844,267.10259710444217
D* Lite,Path cost,169.7056274847714,177.96521625531096,178.19953083036174,0.6656584103533099,176.73506473629445,178.49242404917518
D* Lite,Path cost,84.8528137423857,88.66042558696051,88.6604255869605,0.7057332340436302,87.78174593052015,89.53910524340087
D* Lite,Path cost,28.284271247461906,29.748737341529182,29.74873734152917,0.4725124398741139,28.870057685088817,30.62741699796953
LPA*,Path cost,420.0214280248092,492.87315985291997,492.7802666341065,2.706183200702501,488.5584412271586,496.7594513539352
LPA*,Path cost,339.4112549695428,399.8141628009463,398.98989873223434,2.0216542181025927,396.9604614807116,403.7472580451151
LPA*,Path cost,254.55844122715712,300.5510026929383,300.19953083036216,3.516251772910657,295.5634918610411,305.6639969244293
LPA*,Path cost,169.7056274847714,202.1623591853364,201.75230867899762,1.914563424242079,199.23759005323612,205.6812408671321
LPA*,Path cost,84.8528137423857,102.31757569573593,102.66904755831207,2.27504781867715,98.32590180780446,105.74011537017752
LPA*,Path cost,28.284271247461906,34.707821048680195,33.849242404917504,2.164646812438294,32.38477631085024,39.31370849898477
ARA*,Memory Allocation (KB),420.0214280248092,13620.055078125,13656.982421875,159.15658622821724,13355.48828125,13813.94921875
ARA*,Memory Allocation (KB),339.4112549695428,9541.946875,9546.126953125,116.37198833604047,9254.84375,9695.15234375
ARA*,Memory Allocation (KB),254.55844122715712,7727.028125,7727.05859375,187.47763092683292,7414.3515625,7995.15625
ARA*,Memory Allocation (KB),169.7056274847714,2748.87265625,2485.1953125,367.63409845068685,2401.109375,3304.6640625
ARA*,Memory Allocation (KB),84.8528137423857,740.8734375,803.99609375,97.71263936277074,607.328125,839.5703125
ARA*,Memory Allocation (KB),28.284271247461906,86.36640625,83.6015625,19.908557281259363,64.5234375,132.765625
RTAA**,Memory Allocation (KB),420.0214280248092,13004.689453125,13006.669921875,38.65814968938363,12959.56640625,13096.5625
RTAA**,Memory Allocation (KB),339.4112549695428,12879.47578125,12881.375,38.52651320943178,12817.3515625,12962.49609375
RTAA**,Memory Allocation (KB),254.55844122715712,12791.31953125,12800.93359375,34.2331118164991,12724.84375,12836.2734375
RTAA**,Memory Allocation (KB),169.7056274847714,12691.3234375,12684.48828125,28.722141104246884,12660.4375,12750.3515625
RTAA**,Memory Allocation (KB),84.8528137423857,12581.3859375,12583.04296875,12.271375173972116,12560.0546875,12604.703125
RTAA**,Memory Allocation (KB),28.284271247461906,12518.5234375,12518.828125,2.6551486015518764,12513.61328125,12522.60546875
LRTA*,Memory Allocation (KB),420.0214280248092,12825.733203125,12814.58984375,41.409420098174,12764.734375,12905.125
