Algorithm,Metric,Obstacle Density,Mean,Median,Standard Deviation,Minimum,Maximum
D* Lite,Number of expanded nodes,0.4000000000000001,9578.9,9364.5,1362.0348302403575,7688.0,12207.0
LPA*,Number of expanded nodes,0.1,11354.3,11274.5,916.3341600798765,10053.0,13128.0
LPA*,Number of expanded nodes,0.15,15039.5,15350.5,984.8811905991299,12998.0,16161.0
LPA*,Number of expanded nodes,0.2,16912.9,16704.0,943.1183447061203,15920.0,18816.0
LPA*,Number of expanded nodes,0.25,17702.6,17134.0,1467.7840922336436,16259.0,20596.0
LPA*,Number of expanded nodes,0.3,17888.8,17464.5,1546.9347207633007,15492.0,20963.0
LPA*,Number of expanded nodes,0.3500000000000001,19194.0,18340.5,3119.6244270194716,13987.0,24448.0
LPA*,Number of expanded nodes,0.4000000000000001,17766.5,16658.5,6481.526541882808,7690.0,29239.0
A*,Number of searches,0.1,1.0,1.0,0.0,1.0,1.0
A*,Number of searches,0.15,1.0,1.0,0.0,1.0,1.0
A*,Number of searches,0.2,1.0,1.0,0.0,1.0,1.0
A*,Number of searches,0.25,1.0,1.0,0.0,1.0,1.0
A*,Number of searches,0.3,1.0,1.0,0.0,1.0,1.0
A*,Number of searches,0.3500000000000001,1.0,1.0,0.0,1.0,1.0
A*,Number of searches,0.4000000000000001,1.0,1.0,0.0,1.0,1.0
ARA*,Number of searches,0.1,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.15,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.2,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.25,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.3,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.3500000000000001,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.4000000000000001,5.0,5.0,0.0,5.0,5.0
RTAA**,Number of searches,0.1,14.6,15.0,1.809068067466582,11.0,17.0
RTAA**,Number of searches,0.15,16.4,16.0,2.5105836578433913,12.0,20.0
RTAA**,Number of searches,0.2,17.6,18.0,3.39934634239519,13.0,24.0
RTAA**,Number of searches,0.25,17.0,18.0,3.0151134457776365,11.0,21.0
RTAA**,Number of searches,0.3,17.2,17.5,1.4770978917519928,14.0,19.0
RTAA**,Number of searches,0.3500000000000001,16.3,16.0,1.9617555526835775,13.0,20.0
RTAA**,Number of searches,0.4000000000000001,15.0,15.0,2.461829819586655,11.0,19.0
LRTA*,Number of searches,0.1,4.8,5.0,0.8761716542303611,3.0,6.0
LRTA*,Number of searches,0.15,7.1,7.0,1.452966314513558,5.0,10.0
LRTA*,Number of searches,0.2,8.8,8.5,1.669694219873444,7.0,12.0
LRTA*,Number of searches,0.25,10.0,10.0,1.6817499303650434,8.0,13.0
LRTA*,Number of searches,0.3,13.2,12.5,3.417128571881321,8.0,20.0
LRTA*,Number of searches,0.3500000000000001,14.5,13.0,3.3709993123162105,11.0,22.0
LRTA*,Number of searches,0.4000000000000001,15.5,15.0,4.222355128158079,9.0,22.0
D* Lite,Number of searches,0.1,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.15,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.2,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.25,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.3,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.3500000000000001,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.4000000000000001,1.0,1.0,0.0,1.0,1.0
LPA*,Number of searches,0.1,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.15,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.2,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.25,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.3,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.3500000000000001,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.4000000000000001,2.0,2.0,0.0,2.0,2.0
