Algorithm,Metric,Grid size,Mean,Median,Standard Deviation,Minimum,Maximum
LPA*,Memory Allocation (KB),300.0,62.26796875,45.83203125,38.73356744965871,39.359375,142.2421875
A*,Number of expanded nodes,50.0,2513.2,2580.0,313.54755950584604,1958.0,2988.0
A*,Number of expanded nodes,100.0,2536.2,2484.0,203.7711527245274,2266.0,2848.0
A*,Number of expanded nodes,150.0,2553.4,2277.0,644.0108617018738,1944.0,3840.0
A*,Number of expanded nodes,200.0,2549.6,2396.0,917.7056301579628,1624.0,4960.0
A*,Number of expanded nodes,250.0,2216.0,2224.0,273.0629293100097,1580.0,2588.0
A*,Number of expanded nodes,300.0,2323.2,2221.0,581.0212954322292,1472.0,3388.0
ARA*,Number of expanded nodes,50.0,2223.7,2209.5,172.81398865449137,2008.0,2587.0
ARA*,Number of expanded nodes,100.0,2338.2,2296.0,170.7844469714011,2123.0,2718.0
ARA*,Number of expanded nodes,150.0,2414.3,2075.0,680.7731355319936,1795.0,4022.0
ARA*,Number of expanded nodes,200.0,2450.6,2206.5,935.1567559282018,1842.0,5137.0
ARA*,Number of expanded nodes,250.0,2123.7,2134.0,204.88481590344315,1707.0,2458.0
ARA*,Number of expanded nodes,300.0,2207.9,2055.0,471.22939970586214,1563.0,3084.0
RTAA**,Number of expanded nodes,50.0,663.2,651.5,95.01783194952611,483.0,878.0
RTAA**,Number of expanded nodes,100.0,638.2,674.0,201.585209270414,294.0,928.0
RTAA**,Number of expanded nodes,150.0,752.7,691.5,156.39139448277922,587.0,1030.0
RTAA**,Number of expanded nodes,200.0,651.7,653.0,203.7629243246409,141.0,923.0
RTAA**,Number of expanded nodes,250.0,645.8,679.5,225.03066190810262,248.0,969.0
RTAA**,Number of expanded nodes,300.0,749.1,701.0,261.3365393258026,461.0,1442.0
LRTA*,Number of expanded nodes,50.0,386.3,364.5,87.78562704860242,280.0,568.0
LRTA*,Number of expanded nodes,100.0,376.8,325.5,142.2673539502299,275.0,756.0
LRTA*,Number of expanded nodes,150.0,368.1,346.0,78.72157955152505,262.0,550.0
LRTA*,Number of expanded nodes,200.0,342.8,298.0,128.79964809481953,141.0,632.0
LRTA*,Number of expanded nodes,250.0,344.5,344.5,69.47572868906721,248.0,522.0
LRTA*,Number of expanded nodes,300.0,368.7,349.5,74.09656065095263,269.0,526.0
D*,Number of expanded nodes,50.0,10005.9,9998.5,43.991194860167475,9943.0,10078.0
D*,Number of expanded nodes,100.0,42000.1,42049.0,258.6100716700128,41362.0,42257.0
D*,Number of expanded nodes,150.0,52370.9,52184.0,3336.995389302813,46540.0,59100.0
D*,Number of expanded nodes,200.0,53296.5,52405.5,4627.493246212656,48259.0,64622.0
D*,Number of expanded nodes,250.0,51137.9,50593.5,2714.797711914576,46843.0,57581.0
D*,Number of expanded nodes,300.0,50589.5,50302.0,3268.587694328472,46056.0,57374.0
D* Lite,Number of expanded nodes,50.0,385.3,390.5,117.76875425799273,197.0,565.0
D* Lite,Number of expanded nodes,100.0,449.0,416.5,112.37004506107056,312.0,643.0
D* Lite,Number of expanded nodes,150.0,463.0,467.5,116.78629645227662,317.0,672.0
D* Lite,Number of expanded nodes,200.0,415.1,433.0,120.49069676953489,253.0,608.0
D* Lite,Number of expanded nodes,250.0,421.4,406.0,69.51742711488015,329.0,560.0
D* Lite,Number of expanded nodes,300.0,452.2,452.0,104.11243633399134,273.0,625.0
LPA*,Number of expanded nodes,50.0,1014.2,1027.5,114.17966980595537,821.0,1213.0
LPA*,Number of expanded nodes,100.0,1024.0,1018.0,75.17480463061578,921.0,1155.0
LPA*,Number of expanded nodes,150.0,1044.4,916.5,265.2213837200582,821.0,1590.0
LPA*,Number of expanded nodes,200.0,1043.5,981.5,380.3757822676619,688.0,2052.0
